Feature,Rank
NET_TRANS,1
NET_FOR,1
NET_NEC_A10,1
NET_NEC_A9,1
NET_MFG,1
NET_RET,1
FOOD_HOME,1
TOTEX,1
TOREC,1
OTHREC,1
NET_FISH,2
NET_LPR,3
NET_NEC_A8,4
NET_CFG,5
EAINC,6
NFOOD,7
FOOD_OUTSIDE,8
LOSSES,9
INTEREST,10
OTHER_SOURCE,11
NET_RECEIPT,12
PENSION,13
REGFT,14
DIVIDENDS,15
CASH_DOMESTIC,16
CASH_ABROAD,17
WAGES,18
RENTALS_REC,19
IMPUTED_RENT,20
NETSHARE,21
FOOD,22
SEASON_SAL,23
REG_SAL,24
RENTVAL,25
BIMPUTED_RENT,26
ACTRENT,27
ALCOHOL_PROCDUCTION_SERVICES,28
SERVICES_PRIMARY_GOODS,29
FURNISHING,30
TRANSPORT,31
OCCASION,32
COMMUNICATION,33
HOUSING_WATER,34
INSURANCE,35
CLOTH,36
OTHER_EXPENDITURE,37
EDUCATION,38
ALCOHOL,39
MISCELLANEOUS,40
TOBACCO,41
RECREATION,42
FOOD_ACCOM_SRVC,43
HEALTH,44
DURABLE,45
OTHER_VEG,46
FRUIT_VEG,47
COCOA,48
OTHER_NON_ALCOHOL,49
TEA,50
SUGAR,51
BREAD,52
OIL,53
MILK,54
WATER,55
FOOD_NEC,56
MEAT,57
COFFEE,58
FISH,59
FRUIT,60
SOFTDRINKS,61
VEG,62
FSIZE,63
NPCINC,64
PRPCINC,65
RPCINC,66
URB,67
W_PROV,68
W_REGN,69
PPCINC,70
RPCINC_NIR,71
W_REGN_NIR,72
RPROV,73
MEM_RFACT,74
RPSU,75
SEQ_NO,76
RFACT,77
PERCAPITA,78
OTHER_DISBURSEMENT,79
